#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3381       NonMut        0.016091
   BA3384       NonMut        0.026509
   BA3385       NonMut        0.021766
   BA3386       NonMut        0.016872
   BA3388       NonMut        0.011058
   BA3390       NonMut        0.019035
   BA3394       NonMut        0.007450
   BA3395       NonMut        0.021164
   BA3397       NonMut        0.023395
   BA3399       NonMut        0.010115
   BA3400       NonMut        0.020934
   BA3403       NonMut        0.035711
   BA3405       NonMut        0.018462
   BA3406       NonMut        0.024131
   BA3407       NonMut        0.009590
   BA3408       NonMut        0.003417
   BA3410       NonMut        0.017548
   BA3411       NonMut        0.008470
   BA3412       NonMut        0.018544
   BA3415       NonMut        0.026375
   BA3416       NonMut        0.069568
   BA3417       NonMut        0.010640
   BA3418       NonMut        0.003741
   BA3421       NonMut        0.011559
   BA3422       NonMut        0.016913
   BA3423       NonMut        0.012525
   BA3427       NonMut        0.006381
   BA3430       NonMut        0.007184
   BA3431       NonMut        0.012793
   BA3433       NonMut        0.017805
   BA3434       NonMut        0.006858
   BA3436       NonMut        0.073967
   BA3438       NonMut        0.023867
   BA3445       NonMut        0.001573
   BA3446       NonMut        0.020167
   BA3447       NonMut        0.007814
   BA3448       NonMut        0.022412
   BA3449       NonMut        0.002532
   BA3450       NonMut        0.012496
   BA3451       NonMut        0.023846
   BA3452       NonMut        0.005610
   BA3453       NonMut        0.016879
   BA3454       NonMut        0.031285
