	ID_sample	TypeMutation	ExpressionGene
443	BA3002	NonMut	0.5907034847133481
444	BA3004	NonMut	0.7435197491797316
445	BA3006	NonMut	0.4441179632734338
446	BA3008	NonMut	0.018241639960469
447	BA3009	NonMut	0.3910410980820776
448	BA3011	NonMut	0.2126042244190821
449	BA3013	NonMut	0.3261590134175917
450	BA3023	NonMut	0.3120788536500498
451	BA3025	NonMut	0.1313271882172597
452	BA3027	NonMut	0.0818994430187669
453	BA3030	NonMut	0.2872690994644802
454	BA3037	NonMut	0.2617518776043486
455	BA3038	NonMut	0.4797717529151157
456	BA3040	NonMut	0.250690301209829
457	BA3042	NonMut	0.2158528763498654
458	BA3043	NonMut	0.1222303123648893
459	BA3049	NonMut	0.0703686777679904
460	BA3051	NonMut	0.1085347295423158
461	BA3053	NonMut	0.6412368076275322
462	BA3064	NonMut	0.6805859040259954
463	BA3067	NonMut	0.9417137704908728
464	BA3068	NonMut	0.8598505425084702
465	BA3070	NonMut	0.1856567080563629
466	BA3071	NonMut	0.5942806715240825
467	BA3072	NonMut	0.5661038564642017
468	BA3075	NonMut	0.4935394826888351
469	BA3076	NonMut	0.0600950815996389
470	BA3077	NonMut	0.2415930982661468
471	BA2040	NonMut	0.1631249538399772
472	BA2160	NonMut	0.5239516202848741
473	BA2303	NonMut	0.2287134621672144
474	BA2353	NonMut	0.6573283798949452
475	BA2516	NonMut	0.3524785908331733
476	BA2590	NonMut	0.7566619284761555
477	BA2924	NonMut	0.3927336682223337
478	BA3036	NonMut	0.3202146226888125
479	BA3059	NonMut	0.1697399103267995
480	BA3073	NonMut	0.5202851452743436
481	BA3078	NonMut	0.6240253826415152
482	BA3079	NonMut	0.200928323370388
483	BA3083	NonMut	0.3727060463008943
484	BA3084	NonMut	0.2210528590812508
485	BA3085	NonMut	0.3890291055292843
486	BA3087	NonMut	0.3877333703674679
487	BA3089	NonMut	0.5067222888544671
488	BA3094	NonMut	0.1895895064274629
489	BA3095	NonMut	0.5627347176682901
490	BA3098	NonMut	0.6538684639714663
491	BA3099	NonMut	0.7342656565816789
492	BA3103	NonMut	0.5169322745767089
493	BA3108	NonMut	0.4771452595381377
494	BA3109	NonMut	0.3379797371983408
495	BA3110	NonMut	0.2853318446250391
496	BA3114	NonMut	0.1698758836630473
497	BA3116	NonMut	0.1182353459217621
498	BA3118	NonMut	0.3590035962957389
499	BA3119	NonMut	0.8137080331631155
500	BA3123	NonMut	0.2201591236153108
501	BA3124	NonMut	0.2526085938039344
502	BA3128	NonMut	0.530905902687292
503	BA3130	NonMut	0.1561343854815054
504	BA3133	NonMut	0.4017282865003045
505	BA3135	NonMut	0.5085187774197564
506	BA3136	NonMut	0.4198186628813677
507	BA3137	NonMut	0.4599699555675865
508	BA3139	NonMut	0.9533754592897552
509	BA3141	NonMut	0.4566407521427342
510	BA3142	NonMut	0.9205512361539387
511	BA3146	NonMut	0.4855940184757919
512	BA3149	NonMut	0.5645100707443396
513	BA3152	NonMut	0.2440815047768036
514	BA3153	NonMut	0.1392744072064952
515	BA3154	NonMut	0.248895410356001
516	BA3156	NonMut	0.186899443301741
517	BA3157	NonMut	0.6363828203000166
518	BA3158	NonMut	0.3363321980053571
519	BA3162	NonMut	0.5376642936690882
520	BA3163	NonMut	0.0939197598265622
521	BA3164	NonMut	0.6014220646542657
522	BA3167	NonMut	0.2309347291028571
523	BA3171	NonMut	0.3806407790253697
524	BA3173	NonMut	0.3070382406077814
525	BA3176	NonMut	0.3915225302347527
526	BA3178	NonMut	0.109821525551975
